Codigo;Tipo de Activo;Vinculado o no;Tipo de Titulo;Emisor;NIT;Tipo Inversion;Tipo Registro;Sisitema TRansaccional;Tipo Moneda;Tipo Sector;Calificacion;Dias Vencimiento;Duracion;VPN;
71717171;;;16;Banco De Comercio Ext. De Colombia S.A. Bancoldex;8001499236;;1;1;1;2;1;398;0;1502235000;
71717171;;;16;Banco De Comercio Ext. De Colombia S.A. Bancoldex;8001499236;;1;1;1;2;1;399;0;10012500000;
71717171;;;16;Banco De Comercio Ext. De Colombia S.A. Bancoldex;8001499236;;1;1;1;2;1;430;0;10030200000;
71717171;;;16;Banco Agrario De Colombia S.A;8000378008;;1;1;1;2; 4;289;0,7068;10178100000;
71717171;;;16;Banco Santander De Negocios Colombia S.A.;9006281103;;1;1;1;2;6;117;0,2943;2016940000;
71717171;;;16;Banco Davivienda S.A.;8600343137;;1;1;1;2; 4;150;0,3781;10006700000;
71717171;;;16;Banco Davivienda S.A.;8600343137;;1;1;1;2; 4;197;0;7240170000;
71717171;;;16;Banco Davivienda S.A.;8600343137;;1;1;1;2; 4;198;0;9306630000;
71717171;;;16;Banco Davivienda S.A.;8600343137;;1;1;1;2; 4;206;0;5160500000;
71717171;;;16;Banco Davivienda S.A.;8600343137;;1;1;1;2; 4;234;0,5846;2989110000;
71717171;;;16;Banco Davivienda S.A.;8600343137;;1;1;1;2; 4;126;0;10236300000;
71717171;;;16;Banco Davivienda S.A.;8600343137;;1;1;1;2; 4;152;0;5092350000;
71717171;;;16;Banco Davivienda S.A.;8600343137;;1;1;1;2; 4;141;0,3553;2004620000;
71717171;;;16;Banco Davivienda S.A.;8600343137;;1;1;1;2; 4;120;0;500910000;
71717171;;;16;Banco Davivienda S.A.;8600343137;;1;1;1;2;1;409;1,0027;9835800000;
71717171;;;16;Banco Davivienda S.A.;8600343137;;1;1;1;2; 4;213;0;2060760000;
71717171;;;16;Banco Davivienda S.A.;8600343137;;1;1;1;2; 4;212;0;2060520000;
71717171;;;16;Banco Davivienda S.A.;8600343137;;1;1;1;2; 4;201;0;4008280000;
71717171;;;16;Banco Davivienda S.A.;8600343137;;1;1;1;2; 4;201;0;12024840000;
71717171;;;16;Banco Davivienda S.A.;8600343137;;1;1;1;2; 4;248;0;3049290000;
71717171;;;16;Banco Davivienda S.A.;8600343137;;1;1;1;2; 4;164;0;2113923000;
71717171;;;16;Banco Davivienda S.A.;8600343137;;1;1;1;2; 4;289;0,7138;9965600000;
71717171;;;16;Banco Davivienda S.A.;8600343137;;1;1;1;2;1;702;1,6407;5056700000;
71717171;;;16;Banco Davivienda S.A.;8600343137;;1;1;1;2; 4;112;0,282;3019260000;
71717171;;;16;Banco Davivienda S.A.;8600343137;;1;1;1;2;1;700;1,6357;2023700000;
71717171;;;16;Banco Davivienda S.A.;8600343137;;1;1;1;2; 4;198;0,4935;1004470000;
71717171;;;16;Banco Colpatria Multibanca Colpatria S.A.;8600345941;;1;1;1;2;5;87;0,222;1000130000;
71717171;;;16;Banco Colpatria Multibanca Colpatria S.A.;8600345941;;1;1;1;2;5;22;0,0561;1517205000;
71717171;;;16;Banco Colpatria Multibanca Colpatria S.A.;8600345941;;1;1;1;2;5;183;0;500195000;
71717171;;;16;Banco Colpatria Multibanca Colpatria S.A.;8600345941;;1;1;1;2;5;324;0,802;10875150000;
71717171;;;16;Banco Colpatria Multibanca Colpatria S.A.;8600345941;;1;1;1;2;5;324;0,802;9886500000;
71717171;;;16;Banco Colpatria Multibanca Colpatria S.A.;8600345941;;1;1;1;2;5;324;0,802;4943250000;
71717171;;;16;Banco Colpatria Multibanca Colpatria S.A.;8600345941;;1;1;1;2;5;119;0,3008;4494510000;
71717171;;;16;Banco Av Villas S.A.;8600358275;;1;1;1;2; 4;297;0;7500675000;
