Orden;Tipo de Registro;Nemo;ISIN;Numero Emisión;Estado;Fecha Registro;Fecha de Emisión;Fecha de Vencimiento;Periodicidad;Modalidad;Días al vencimiento;Moneda;Tipo Tasa;Tipo Tasa Referencia;Spread;Tipo de Calculo;Base de calculo;Precio;Fecha Ultimo Precio;Ultimo precio;Código ISIN2;Precio Limpio;Código ISIN3;TIR;Duracion ;Duracion Modificada ;Convexidad ;Cupon Corrido ;Margen;Calificación ;CALIF;CLASE;Especie;Emisor;Entidad;Rango Plazo;indicador;indicador2;Indicador Calif
18688;D;BPEMINHTA4;COL17CB06XG1;0;A;06/04/2016;19/09/2003;13/01/2034;P;V;6487;COP;3;ICP;4;2;0;213,875;;0;;213,875;;14,099;0;0;0;0;5,6668;NACIO;N;;;;;;;;
18689;D;BPEMINHTA4;COL17CB06XH9;0;A;06/04/2016;19/09/2003;24/06/2022;P;V;2269;COP;3;ICP;4;2;0;272,533;;0;;272,533;;13,055;0;0;0;0;4,7003;NACIO;N;;;;;;;;
18690;D;BPEMINHTA3;COL17CB06XI7;0;A;06/04/2016;19/09/2003;31/08/2020;P;V;1607;COP;3;ICP;3;2;0;239,034;;0;;239,034;;12,532;0;0;0;0;4,2153;NACIO;N;;;;;;;;
18691;D;BPEMINHTA4;COL17CB06XJ5;0;A;06/04/2016;19/09/2003;14/06/2021;P;V;1894;COP;3;ICP;4;2;0;278,779;;0;;278,779;;12,715;0;0;0;0;4,3848;NACIO;N;;;;;;;;
18692;D;BPEMINHTA3;COL17CB06XK3;0;A;06/04/2016;19/09/2003;19/02/2025;P;V;3239;COP;3;ICP;3;2;0;229,183;;0;;229,183;;12,396;0;0;0;0;4,0901;NACIO;N;;;;;;;;
18693;D;BPEMINHTA4;COL17CB06XL1;0;A;06/04/2016;19/09/2003;09/05/2027;P;V;4048;COP;3;ICP;4;2;0;268,078;;0;;268,078;;12,885;0;0;0;0;4,5425;NACIO;N;;;;;;;;
18694;D;BPEMINHTA4;COL17CB06XM9;0;A;06/04/2016;19/09/2003;04/02/2028;P;V;4319;COP;3;ICP;4;2;0;266,913;;0;;266,913;;12,885;0;0;0;0;4,5425;NACIO;N;;;;;;;;
18695;D;BPEMINHTA4;COL17CB06XN7;0;A;06/04/2016;19/09/2003;03/03/2023;P;V;2521;COP;3;ICP;4;2;0;271,269;;0;;271,269;;13,055;0;0;0;0;4,7003;NACIO;N;;;;;;;;
18696;D;BPEMINHTA3;COL17CB06XO5;0;A;06/04/2016;19/09/2003;15/08/2024;P;V;3051;COP;3;ICP;3;2;0;230,423;;0;;230,423;;12,396;0;0;0;0;4,0901;NACIO;N;;;;;;;;
18697;D;BPEMINHTA3;COL17CB06XP2;0;A;06/04/2016;19/09/2003;08/08/2018;P;V;854;COP;3;ICP;3;2;0;252,206;;0;;252,206;;11,137;0;0;0;0;2,9236;NACIO;N;;;;;;;;
18698;D;BPEMINHTA3;COL17CB06XQ0;0;A;06/04/2016;19/09/2003;09/11/2030;P;V;5327;COP;3;ICP;3;2;0;183,219;;0;;183,219;;13,658;0;0;0;0;5,258;NACIO;N;;;;;;;;
18699;D;BPEMINHTA4;COL17CB06XR8;0;A;06/04/2016;19/09/2003;16/04/2029;P;V;4755;COP;3;ICP;4;2;0;255,419;;0;;255,419;;13,216;0;0;0;0;4,8491;NACIO;N;;;;;;;;
