Fondo;TIPO ACTIVO;VINCULADO AL FONDO;TIPO DE TÍTULO;EMISOR;NIT;TIPO INVERSIÓN ;TIPO REGISTRO;SISTEMA TRANSACCIONAL;TIPO MONEDA;TIPO SECTOR;CALIFICACIÓN;DÍAS AL VTO.;duración;VPN
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;165;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;383;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;383;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;165;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;105;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;78;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;247;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;87;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;87;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;260;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;107;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;262;0;-0.01
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;291;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;277;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;262;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;230;0;0.01
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;221;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;-17;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;352;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;87;0;-0.01
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;92;0;0.01
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;247;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;262;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;239;0;0.01
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;199;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;167;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;197;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;202;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;202;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;247;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;46;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;121;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;165;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;18;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;199;0;0.01
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;18;0;0.01
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;18;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;90;0;-0.01
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;105;0;0.01
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;90;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;165;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;138;0;0
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;167;0;-0.01
60604;1;2;30;Habitat Cooperativa;4015401540;2;2;4;1;1;52;375;0;0
