COD;TIPO ACTIVO;VINCULADO AL FONDO;TIPO DE TÍTULO;Emisor;NIT10;TIPO INVERSIÓN ;TIPO REGISTRO;SISTEMA TRANSACCIONAL;TIPO MONEDA;TIPO SECTOR;CALIFICACIÓN;DÍAS AL VTO.;Duración;VPN
9011356;1;2;16;Banco Itaú S.A;8909039370;2;1;1;1;2;4;310;0;2094820000,00
9011356;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;6;146;0;5141500000,00
9011356;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;4;146;0;2024020000,00
9011356;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;4;174;0;5028500000,00
9011356;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;4;174;0;5028500000,00
9011356;1;2;16;Banco Itaú S.A;8909039370;2;1;1;1;2;4;262;0;5043000000,00
9011356;1;2;10;Ministerio De Hacienda Y Credito Publico;8999990902;2;1;1;1;4;9;761;0;3817100272,75
9011356;1;2;10;Ministerio De Hacienda Y Credito Publico;8999990902;2;1;1;1;4;9;761;0;3817100272,75
9011356;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;1;678;0;10118500000,00
9011356;1;2;16;Banco Itaú S.A;8909039370;2;1;1;1;2;1;422;0;5239550000,00
9011356;1;2;16;Banco Itaú S.A;8909039370;2;1;1;1;2;1;389;0;5280550000,00
9011356;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;4;356;0;3017070000,00
9011356;1;2;10;Ministerio De Hacienda Y Credito Publico;8999990902;2;1;1;1;4;9;761;0;3817100272,75
9011356;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;1;465;0;10702900000,00
9011356;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;4;339;0;7487620000,00
9011356;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;4;368;0;2179000000,00
9011356;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;1;440;0;5064250000,00
9011356;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;4;363;0;5014700000,00
9011356;1;2;16;Banco Itaú S.A;8909039370;2;1;1;1;2;1;509;0;10206400000,00
9011356;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;4;336;0;2537475000,00
9011356;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;6;258;0;8031280000,00
9011356;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;6;368;0;1030400000,00
9011356;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;1;651;0;973590000,00
9011356;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;1;386;0;3054360000,00
9011356;1;2;16;Banco Colpatria Multibanca Colpatria S.A.;8600345941;2;1;1;1;2;6;359;0;10035700000,00
9011356;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;1;547;0;10166400000,00
