ID;TIPO ACTIVO;VINCULADO O NO;TIPO TITULO;EMISOR;NIT;TIPO INVERSION;TIPO REGISTRO;SISTEMA TRANSACCIONAL;TIPO MONEDA;TIPO SECTOR;CALIFICACION;DIAS AL VTO; DURACION ;  VPN  ;FIC
9633;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;1;42;0;1512840000;VP
9633;1;1;16;Corporacion Financiera Colombiana S.A.;8903006536;2;1;1;1;2;1;113;0;1008030000;VP
9633;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;1;479;0;3030120000;VP
9633;1;1;16;Corporacion Financiera Colombiana S.A.;8903006536;2;1;1;1;2;1;119;0;2014080000;VP
9633;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;82;0;1004390000;VP
9633;1;2;16;Banco Corpbanca Colombia S.A;8909039370;2;1;1;1;2;1;27;0;2018480000;VP
9633;1;2;16;Banco Caja Social;8600073354;2;1;1;1;2;1;120;0;10067700000;VP
9633;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;253;0;2022820000;VP
9633;1;2;3;Banco De Occidente S.A.;8903002794;2;1;1;1;2;1;166;0;2051300000;VP
9633;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;1;203;0;2036600000;VP
9633;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;183;0;1024250000;VP
9633;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;189;0;1023100000;VP
9633;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;191;0;4090840000;VP
9633;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;318;0;1020960000;VP
9633;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;217;0;1524480000;VP
9633;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;1;275;0;1027270000;VP
9633;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;1;267;0;1006830000;VP
9633;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;307;0;1017370000;VP
9633;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;343;0;5029050000;VP
9633;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;344;0;1506225000;VP
9633;1;2;3;Banco De Occidente S.A.;8903002794;2;1;1;1;2;1;342;0;1024620000;VP
9633;1;2;16;Banco De Occidente S.A.;8903002794;2;1;1;1;2;1;1;0;1011900000;VP
9633;1;2;16;Banco Gnb Sudameris S.A.;8600507501;2;1;1;1;2;1;279;0;311931300;VP
9633;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;1;267;0;2013660000;VP
9633;1;2;16;Banco Av Villas S.A.;8600358275;2;1;1;1;2;1;349;0;4024200000;VP
9633;1;2;10;Ministerio De Hacienda Y Credito Publico;8999990902;2;1;1;1;4;9;13;0;271077078;VP
9633;1;2;10;Ministerio De Hacienda Y Credito Publico;8999990902;2;1;1;1;4;9;1012;0;210575000;VP
9633;1;2;10;Ministerio De Hacienda Y Credito Publico;8999990902;2;1;1;1;4;9;1012;0;87936120;VP
9633;1;2;10;Ministerio De Hacienda Y Credito Publico;8999990902;2;1;1;1;4;9;27;0;1048800000;VP
9633;1;2;10;Ministerio De Hacienda Y Credito Publico;8999990902;2;1;1;1;4;9;27;0;2097600000;VP
