ID;TIPO ACTIVO;VINCULADO O NO;TIPO TITULOS;EMISOR;NIT;TIPO INVERSION;TIPO REGISTRO;SISTEMA TRANSACCIONAL;TIPO MONEDA;TIPO SECTOR;CALIFICACION;DIAS AL VTO;DURACIÓN;VPN;
9011427;1;2;3;Leasing Bancolombia S.A. C.F.;8600592943;2;1;1;1;2;1;457;0;997720000;
9011427;1;2;1;Ministerio De Hacienda Y Credito Publico;8999990902;2;1;1;1;4;9;690;0;515667731;
9011427;1;2;1;Ministerio De Hacienda Y Credito Publico;8999990902;2;1;1;1;4;9;837;0;601134961;
9011427;1;2;1;Ministerio De Hacienda Y Credito Publico;8999990902;2;1;1;1;4;9;773;0;548032827;
9011427;1;2;3;Banco Popular S.A.;8600077389;2;1;1;1;2;1;1.405;0;1008620000;
9011427;1;2;3;Banco De Occidente S.A.;8903002794;2;1;1;1;2;1;37;0;1005450000;
9011427;1;2;16;Banco Corpbanca Colombia S.A;8909039370;2;1;1;1;2;4;344;0;2009300000;
9011427;1;2;16;Banco Corpbanca Colombia S.A;8909039370;2;1;1;1;2;1;531;0;1004250000;
9011427;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;1;505;0;507280000;
9011427;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;1;484;0;1023160000;
9011427;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;1;707;0;1511220000;
9011427;1;2;16;Banco Corpbanca Colombia S.A;8909039370;2;1;1;1;2;1;328;0;1003540000;
9011427;1;2;16;Banco Corpbanca Colombia S.A;8909039370;2;1;1;1;2;4;349;0;1005350000;
9011427;1;2;16;Banco Gnb Sudameris S.A.;8600507501;2;1;1;1;2;5;340;0;1005420000;
9011427;1;2;16;Banco Popular S.A.;8600077389;2;1;1;1;2;1;275;0;995720000;
9011427;1;2;16;Banco De Comercio Ext. De Colombia S.A. Bancoldex;8001499236;2;1;1;1;2;1;469;0;1008270000;
9011427;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;1;302;0;2004060000;
9011427;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;1;532;0;1985280000;
9011427;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;5;321;0;1003590000;
9011427;1;2;16;Banco De Occidente S.A.;8903002794;2;1;1;1;2;1;134;0;1005700000;
9011427;1;2;16;Banco De Occidente S.A.;8903002794;2;1;1;1;2;1;351;0;1001520000;
9011427;1;2;16;Banco De Occidente S.A.;8903002794;2;1;1;1;2;1;351;0;500760000;
9011427;1;2;16;Banco De Occidente S.A.;8903002794;2;1;1;1;2;1;351;0;500760000;
9011427;1;2;16;Banco Falabella S.A.;9000479818;2;1;1;1;2;6;43;0;1004560000;
9011427;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;1;468;0;2017020000;
9011427;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;1;391;0;1004840000;
9011427;1;2;16;Leasing Bancolombia S.A. C.F.;8600592943;2;1;1;1;2;1;27;0;1001600000;
9011427;1;2;16;Banco Pichincha S.A.;8902007567;2;1;1;1;2;4;7;0;2010500000;
9011427;1;2;16;Banco Gnb Sudameris S.A.;8600507501;2;1;1;1;2;5;111;0;3008370000;
9011427;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;1;20;0;2005180000;
9011427;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;4;159;0;1006130000;
9011427;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;4;112;0;501510000;
9011427;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;4;115;0;501200000;
9011427;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;1;505;0;503090000;
9011427;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;1;673;0;520090000;
9011427;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;1;642;0;524995000;
9011427;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;1;486;0;521360000;
9011427;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;1;534;0;506460000;
9011427;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;1;579;0;1041460000;
9011427;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;2;0;1022660000;
9011427;1;2;16;Banco Davivienda S.A.;8600343137;2;1;1;1;2;1;197;0;516210000;
9011427;1;2;16;Financiera De Desarrollo Territorial S.A. Findeter;8000963291;2;1;1;1;2;1;299;0;1038300000;
9011427;1;2;16;Banco De Occidente S.A.;8903002794;2;1;1;1;2;5;48;0;1008540000;
9011427;1;2;16;Banco Gnb Sudameris S.A.;8600507501;2;1;1;1;2;5;75;0;1003470000;
9011427;1;2;16;Banco Gnb Sudameris S.A.;8600507501;2;1;1;1;2;5;182;0;2000560000;
9011427;1;2;16;Banco Agrario De Colombia S.A;8000378008;2;1;1;1;2;5;272;0;1000500000;
9011427;1;2;16;Leasing Bancolombia S.A. C.F.;8600592943;2;1;1;1;2;5;239;0;2020540000;
9011427;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;1;256;0;495170000;
9011427;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;1;378;0;493905000;
9011427;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;4;46;0;1008940000;
9011427;1;2;16;Bancolombia S.A.;8909039388;2;1;1;1;2;1;687;0;1011500000;
9011427;1;2;16;Banco Av Villas S.A.;8600358275;2;1;1;1;2;1;33;0;2014680000;
9011427;1;2;16;Banco Av Villas S.A.;8600358275;2;1;1;1;2;5;26;0;2025160000;
9011427;1;2;16;Banco Av Villas S.A.;8600358275;2;1;1;1;2;1;514;0;1008540000;
9011427;1;2;16;Banco Av Villas S.A.;8600358275;2;1;1;1;2;1;534;0;2004320000;
9011427;1;2;16;Banco Av Villas S.A.;8600358275;2;1;1;1;2;1;548;0;1000000000;
9011427;1;2;10;Ministerio De Hacienda Y Credito Publico;8999990902;2;1;1;1;4;9;390;0;1258079604;
9011427;1;2;10;Ministerio De Hacienda Y Credito Publico;8999990902;2;1;1;1;4;9;390;0;1258079604;
9011427;1;2;10;Ministerio De Hacienda Y Credito Publico;8999990902;2;1;1;1;4;9;390;0;1258079604;
9011427;1;2;10;Ministerio De Hacienda Y Credito Publico;8999990902;2;1;1;1;4;9;54;0;1062130000;
9011427;1;2;10;Ministerio De Hacienda Y Credito Publico;8999990902;2;1;1;1;4;9;54;0;3186390000;
9011427;1;2;10;Ministerio De Hacienda Y Credito Publico;8999990902;2;1;1;1;4;9;70;0;4166760000;
9011427;2;2;0;Banco De Bogota S.A.;8600029644;0;0;0;0;0;0;0;0;12166248666;
9011427;2;2;0;Bbva Colombia S.A.;8600030201;0;0;0;0;0;0;0;0;11686218378;
9011427;2;2;0;Banco Corpbanca Colombia S.A;8909039370;0;0;0;0;0;0;0;0;2213792731;
9011427;2;2;0;Banco Davivienda S.A.;8600343137;0;0;0;0;0;0;0;0;50138972;
9011427;2;2;0;Banco Popular S.A.;8600077389;0;0;0;0;0;0;0;0;18329409266;
9011427;2;2;0;Banco Gnb Sudameris S.A.;8600507501;0;0;0;0;0;0;0;0;11044898328;
9011427;2;2;0;Bancolombia S.A.;8909039388;0;0;0;0;0;0;0;0;707121282;
9011427;2;2;0;Bbva Colombia S.A.;8600030201;0;0;0;0;0;0;0;0;1489479;
9011427;2;2;0;Bbva Colombia S.A.;8600030201;0;0;0;0;0;0;0;0;7206438;
9011427;2;2;0;Bancolombia S.A.;8909039388;0;0;0;0;0;0;0;0;2683593;
9011427;2;2;0;Citibank Colombia S.A.;8600511354;0;0;0;0;0;0;0;0;16940888;
9011427;2;2;0;Banco Colpatria;8901001806;0;0;0;0;0;0;0;0;2782980675;
9011427;2;2;0;Banco De Occidente S.A.;8903002794;0;0;0;0;0;0;0;0;47994561;
9011407;1;2;16;Banco Corpbanca Colombia S.A;8909039370;2;1;1;1;2;4;326;0;2017700000;
9011407;1;2;16;Banco Corpbanca Colombia S.A;8909039370;2;1;1;1;2;1;531;0;2008500000;
9011407;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;1;181;0;499110000;
9011407;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;1;367;0;4027360000;
9011407;1;2;16;Banco De Bogota S.A.;8600029644;2;1;1;1;2;1;337;0;998420000;
9011407;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;1;393;0;6027420000;
9011407;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;1;484;0;1023160000;
9011407;1;2;16;Bbva Colombia S.A.;8600030201;2;1;1;1;2;1;707;0;1511220000;
